"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Validar schema de buscar usuários por ID","0","0","1","0","0"
"","","Validar deleção de usuário com dados inválidos","0","0","2","0","0"
"","","Validar schema de listar produtos com sucesso","0","0","1","0","0"
"","","Validar listagem de produtos com sucesso","0","0","1","0","0"
"","","Validar atualização de usuário com sucesso","0","0","2","0","0"
"","","Validar login com sucesso","0","0","1","0","0"
"","","Validar busca de produto por ID inválido","0","0","2","0","0"
"","","Validar cadastro de usuário com dados inválidos","0","0","2","0","0"
"","","Validar busca de usuários por ID com dados inválidos","0","0","2","0","0"
"","","Validar schema de atualizar usuário com sucesso","0","0","1","0","0"
"","","Validar cadastro de usuário com sucesso","0","0","1","0","0"
"","","Validar login inválido","0","0","2","0","0"
"","","Validar listar usuários com parâmetro inválido","0","0","2","0","0"
"","","Validar schema de busca de produto por ID","0","0","1","0","0"
"","","Validar schema de cadastrar usuários com sucesso","0","0","1","0","0"
"","","Validar busca de produto inválidos","0","0","2","0","0"
"","","Validar listar usuários com sucesso","0","0","1","0","0"
"","","Validar schema de listar usuários com sucesso","0","0","1","0","0"
"","","Validar schema de usuário com sucesso","0","0","1","0","0"
"","","Validar deleção de usuário com sucesso","0","0","1","0","0"
"","","Validar schema de deletar usuários com sucesso","0","0","1","0","0"
